,trajectoryId,lat,lon,alt,arrivaltime,leavetime,algorithm
22,20429,49.891586888888874,10.88686722222222,0.0,2020-11-02 11:09:00,2020-11-02 11:25:00,dist
23,20429,49.8947414375,10.8885759375,0.0,2020-11-02 11:35:00,2020-11-02 11:50:00,dist
24,20429,49.89252213333332,10.886849866666667,0.0,2020-11-02 12:01:00,2020-11-02 12:15:00,dist
25,20429,49.892204375,10.89074525,0.0,2020-11-02 12:25:00,2020-11-02 12:40:00,dist
26,20429,49.892582374999996,10.891355062499999,0.0,2020-11-02 13:00:00,2020-11-02 13:15:00,dist
27,20429,49.89418791666666,10.886541666666668,0.0,2020-11-02 13:29:00,2020-11-02 13:40:00,dist
28,20429,49.895078562500004,10.883729624999999,0.0,2020-11-02 13:50:00,2020-11-02 14:05:00,dist
29,21200,49.893721,10.891611,306.0,2020-11-03 13:01:00,2020-11-03 13:16:38,dbscan
30,21200,49.893253,10.891824,300.0,2020-11-03 13:15:00,2020-11-03 13:41:46,dbscan
31,21200,49.892061,10.89085,289.0,2020-11-03 13:46:00,2020-11-03 13:57:23,dbscan
32,21200,49.892778,10.886324,300.0,2020-11-03 14:01:00,2020-11-03 14:12:00,dbscan
33,21200,49.894848,10.882951,291.0,2020-11-03 14:21:00,2020-11-03 14:33:40,dbscan
34,21200,49.893223,10.882571,285.0,2020-11-03 14:38:36,2020-11-03 14:49:53,dbscan
35,21200,49.891344,10.883261,301.0,2020-11-03 14:55:09,2020-11-03 15:08:01,dbscan
